riddle,choice0,choice1,choice2,choice3,choice4,label
飞机灭火 （猜一成语）,一人得道,尸位素餐,争利,广开言路,上行下效,0
生在青山石崖，死在大路边旁，有能者平安通过，无能者埋怨爹娘。 （打一物）,电击器,上映,航空照片,锉子,电报,4
乍看像狼不是狼，三角脸儿身瘦长，性情狡猾疑心重，毛色棕黄尾巴长。 （打一动物）,黄鼠狼,猎狗,狐狸,兔子,黑猫,1
说东道西 （打一成语）,信手拈来,遣词造句,妙语连珠,言之有物,引经据典,3
总而言之 （打成语一）,旁逸斜出,武功盖世,混淆视听,声威天下,弱冠,2
怎生得黑 （打一成语）,调皮捣蛋,吃不开,无出其右,鲜少,晕头转向,2
弟兄前后站，排队去上班，刚从桥上过，又往水里钻。 （打一物）,鞍马,跳棋,手套,吸合,花生,2
神雕侠依旧没来 （打一成语）,绝交,搬弄是非,苦中作乐,央告,后发制人,4
离别合影 （打成语一）,一触即溃,沸沸扬扬,显而易见,一睹为快,你知道就好,3
福无双至，祸不单行。 （打一成语）,迂腐,鬻儿卖女,有翅难飞,弯弯曲曲,受了伤,2
纽约公民 （称谓职务）,总裁,妈妈,老公,waiter,书记员,2
百分表 （打一成语）,自圆其说,牵强附会,诡辩,避重就轻,漏洞百出,0
生在山上，卖到山下，一到水里，就会开花。 （打一植物）,节节草,蚕种,琉璃瓶,向日葵,荸荠,3
相亲相近水中鸥 （打成语一）,泛泛之交,同一种人,推心置腹,虚与委蛇,称兄道弟,0
三十除以五 （打二字中药名一）,木通,商陆,泽漆,射干,大蓟,0
赤橙绿兰紫 （打成语一）,内忧外患,江河日下,赶上了,青黄不接,返销粮,3
泪湿春衫袖 （打一成语）,困难,确切,嘭嘭嘭,晕头转向,动粗,3
人前只说三分话 （歌曲名）,银花飞,驻足,一首桃花,山水情,九九艳阳天,2
四四方方，又白又光，姑娘请他，清洁衣裳。 （物品）,熨斗,明信片,牙膏,清洁剂,毛巾,4
我本豪门生，出嫁给穷人，只怕日子久，难见故乡人。 （打一物）,帐篷,夜莺,鼻涕,沙发,伙计,0
山大王（打一成语）,拉杆子,占山为王,望风而逃,绿林,打家劫舍,1
用时四角，不用三角，好处不放，专搁坏处。 （打一物）,马镫,啤酒,蟮,戴上,高射炮,0
内事不决问张昭，外事不决问周瑜。 （打一成语）,迫不得已,权宜之计,师出无名,最终目的,掣肘,1
准备不准胜 （汽车牌号）,帕萨特,途观,捷达,别克,奥迪,2
围而不打 （商标品牌商号）,途观,奥迪,捷达,帕萨特,别克,1
又出差了 （打一常言俗语四字）,自食其果,无法挽回的,误入歧途,嫁祸于人,错上加错,2
火伴皆惊忙 （打一成语）,一颗明珠,不足为凭,留得枯荷听雨声,霸王硬上弓,井井有条,1
求瞎子说前程 （打成语一）,两眼一抹黑,问道于盲,对牛弹琴,大言炎炎,欺人之谈,1
僧人去多久 （打一成语）,而如今,回首当年,一去不复返,曾几何时,屈指可数,3
小小圆球裹外衣，外衣与肉一脱离，痒得手儿只想洗，锅中一蒸似肉泥。 （打一植物）,芋头,萝卜,香菇,南瓜,红薯,3
爻 （打俗语四字）,错上加错,误入歧途,嫁祸于人,自食其果,无法挽回的,2
发面饼圆又圆，菜馅摊在饼外面，饼好吃馅好看，保你吃了嘴更馋。 （打一外国食品）,热狗,面包师,大汉堡,比萨,意式餐厅,3
杀惜 （五字电影）,把悲伤留给自己,越单纯越幸福,一切为了爱,我只在乎你,冲动的惩罚,2
红竹子，桃绿旗，白了心，黑了皮。 （打一植物）,桂圆,苤蓝,吉祥草,薤白,松树,3
赤珊瑚儿地下埋，片片绿叶头上栽。 （打一蔬菜）,菠菜,胡萝卜,南瓜,柿子椒,西兰花,4
新陈代谢 （打一常用成语）,百川归海,春生夏长,吐故纳新,乐以忘忧,天地和谐,2
小小花瓶不开花，开起花来百桠杈，梅兰竹菊样样有，只好看来不好拿。 （打一物）,得分王,字典,长笛,芝麻油,门,4
下次座谈时间已定 （打一成语）,心有不甘,也哉,旁观者清,泰山压顶,勃然变色,2
小时在山上生长，大时在行里安身；小时斩斩削削，大时剖肚抽筋。 （打一植物）,匡威,晚霞,土豆,芳,荸荠,2
凸眼睛，阔嘴巴，尾马要比身体大，碧绿水草衬着它，好像一朵大红花（打一动物名）,锦鲤,金鱼,蝌蚪,小鸭子,青蛙,1
叶子圆圆个儿小，全身长满小镰刀，刀子里面结果果，果儿可做美佳肴。 （打一植物）,桑葚,野刺玫,佛手柑,白果,夹竹桃,2
悟空难逃如来掌 （中药名）,北豆根,龙纹虾,茜草根,天竹,白萝卜,2
活期 （歌曲名）,出门,地图,我等到花儿也谢了,当爱已成往事,每天爱你多一些,2
闲行独自语 （外国电影）,曲径通幽处,云中漫步,童话世界,梦幻城堡,会当凌绝顶,1
国庆中秋凯歌传 （打一成语）,大败,腹背受敌,节节胜利,正面战场,一触即溃,2
一尺大街 （打成语一）,轻而易举,微不足道,那些生活,渺小,无能为力,1
小小逗号水中游，浑身发黑滑溜溜。 （打一动物）,飞蛾,退票,章鱼,泻药,虾,2
千里江陵一日还 （汽车牌号）,宝马,起动机,道奇,日产,劳力士,2
号豉同操 （打成语一）,各执一词,蒙面人,向前冲,不近人情,颠倒黑白,3
如果顺着念，会计经常用；如果倒着念，主意还没定。 （打一计算工具）,调虎离山,调虎离山,算盘,算盘,算盘,2
李逵降世雨滂沱 （打一成语）,风生水起,名利双收,蒸蒸日上,过得,有声有色,0
十亿一心奔四化 （打一称谓）,干部,同志,书记,局长,候补委员,1
兴兵东吴施大略 （打一古代著作）,史记,晏子春秋,左传,战国策,汉书,3
警惕家人 （打一中药）,升麻,天花粉,细辛,防己,泽泻,3
圆圆滚滚白胖子，轻轻一戳吐黑籽。 （打一节日食品）,发糕,糯米团,糯米团,发糕,汤圆,4
再度南柯 （打成语一）,牵肠挂肚,再相会,情话绵绵,重温旧梦,念念不忘,3
辅导作曲 （打成语一）,扶危济困,奉公守法,大仁大义,拾金不昧,助人为乐,4
失惊 （打俗语三字）,甘拜下风,打哈哈,不看不知道,不大离,乡巴佬,3
什 （打一成语）,以礼相待,促膝长谈,话不投机,一见如故,推心置腹,2
森林医生是小鸟，尖嘴像把手术刀，专捉害虫吃个饱，保护树木有功劳。 （打一动物）,糌粑,狐狸先生,东北虎,鹭鸶,珠颈斑鸠,3
一再嫁人也得过 （古籍）,三字经,笠翁对韵,弟子规,论语,幼学琼林,0
云长义子性随和 （打一成语）,如释重负,心存芥蒂,爱国如家,灵官,不在话下,4
师父给我取学号 （打一常用成语）,末代,纸上谈兵,徒有其名,萧规曹随,大而无当,2
可汗大点兵 （称谓职务）,毕加索的秘密,战友,器材党,青涩,优秀共产党员,1
正月十六办婚事 （打一常用成语）,乐滋滋,焦急万分,大惊失色,如释重负,喜出望外,4
家长 （四字电影）,瞧这一家子,少爷的磨难,现世活宝,虎穴追踪,一封,2
神明 （打六字成语）,略施小计,偷偷摸摸,人不知鬼不觉,溜之大吉,瞒天过海,2
千年裘 （中药名）,野芋,问荆,含笑花,阴阳水,蛇肉,3
漆黑一团 （四字电影）,每周三,不见不散,先睹为快,圆满结束,与你相约,1
大雪纷飞 （打一成语）,自吹自擂,费尽口舌,天花乱坠,云山雾罩,不着边际,2
高枕无忧 （中药）,薄荷脑,安息香,佛手柑,血竭,没药,1
长的本科毕业生 （古代官职）,大学士,侍郎,左都御史,内阁首辅,兵部尚书,0
久居东京 （打成语一）,你我之间,也许以后,再见,天下没有不散的宴席,来日方长,4
孤卒逼宫定战局 （打成语一）,拍案而起,你是什么东西,猫鼠一家,夜郎自大,飞来横祸,4
为你打我，为我打你，打得你皮开，打得我出血 （打一动物）,山羊绒,小云雀,花儿,吃草,树袋熊,3
指鹿为马拉朝臣 （俗语五字）,胡搅蛮缠,丁是丁，卯是卯,胡搅蛮缠,人往高处走,善罢甘休,3
死后留芳 （中药名）,血竭,没药,安息香,薄荷脑,佛手柑,1
有雨就全好办了 （打五字成语）,失败乃成功之母,志者,明知山有虎,天下无难事,恒心,3
个子不高，全身长毛，站着不走，躺下乱跑。 （打一物）,烟杆,扫帚,鸡毛掸子,柴刀,拖把,1
与学员分手 （打成语一）,深入浅出,别开生面,端午诗词,盛会,耳目一新,1
来到即刻替操劳 （称谓职务）,那小子,书记员,郭援,总干事,追星族,4
环境美心灵美 （打成语一）,再见,强弩之末,诗社,盗匪,欣欣向荣,4
平时一根棍，用时半个球，人在底下走，水在上边流。 （打一生活物）,扫帚,长凳,床架,镜子,鞋,4
样子像鹤不是鹤，头顶缺个红帽壳，默默站立在水边，专等机会把鱼捉。 （打一动物）,野鸭,翠鸟,白鹤,鹭鸶,鸬鹚,2
怀柔 （歌曲名）,心太软,爱一个人好难,见异思迁,笨小孩,自作自受,0
猴年夺冠好开心 （打一亲属称谓）,大娘,老姑,亲家母,婶子,三儿,4
深圳航线通全球 （打一成语）,无伤大体,及时行乐,抱头痛哭,第六道,无心插柳,1
小红鞋，泥里踩，绿绸裤子迎风摆。 （打一植物）,南瓜,菠菜,西兰花,胡萝卜,柿子椒,4
再还妈妈一个吻 （打一称谓）,二婶,公爹,婆婆,亲家母,儿媳,3
青梗绿叶开黄花，泥沙底下做人家。 （打一农作物）,南瓜籽,花生,腰果,蚕豆,核桃,1
一物三个口，有脚没有手，你若没有它，怎好见朋友。 （打一物）,太空轨道,许愿池,窗户,铁板,牙粉,2
脸儿亮光光，坐在桌子上，妹妹跑过来，请它照个相。 （打一物）,唱片,量角器,法国国家队,头发,直行标志,3
考古不易 （中国电影）,邓小平1928,二子开店,少爷的磨难,傻冒经理,水上春秋,1
一个老爷爷，推他他不倒，总爱把头摇。 （打一物）,敲鼓,秤砣,陀螺,木偶,不倒翁,4
救生伞 （打一成语）,委曲求全,察知,无本生意,自圆其说,不依不饶,4
输了无人看 （打一成语）,忘战必危,一走了之,帐钩,央告,老调重弹,1
七十犹是小孩儿 （俗称谓职务）,老子,胡说八道,骂,大流氓,敬酒不吃吃罚酒,1
滑滑嫩嫩似果冻，鸡蛋牛奶味儿浓。 （打一食物）,酱瓜,芝士蛋糕,千层饼,饺子,回锅肉,1
人人都是人侍候 （中国电影）,空镜子,虎妈猫爸,山楂树之恋,一仆二主,我的前半生,3
仙乐风飘处处闻 （打成语一）,天下无双,独到之处,不同凡响,非比寻常,名至实归,2
苛政猛于虎也 （唐诗目）,新年作,别滁,黄君璧,桃源行,春日醉起言志,0
出门兜里装，兄弟姐妹多，粗看都一样，细看各不同。 （打一物）,箱子,开门,钥匙,螺丝刀,上锁,0
昔年朋友半凋零 （打一成语）,重归于好,细致,卑鄙龌龊,动荡不安,俗人,0
手足无措 （打一成语）,买椟还珠,精打细算,佯攻,坐以待毙,投怀送抱,4
两兄弟，感情好，到哪都是手拉手，竖看就像数字8。 （打一植物）,柳树,杜鹃花,大蒜,洋葱,芦苇,4
头戴一粒椒，身穿紫花袍，铁栏环里过，性命就难保。 （打一昆虫）,体外寄生虫,黄渡,草儿,虱子,斑鸠,3
没有调查，无发言权 （打一成语）,"不入虎穴,不得虎子",贼眉鼠眼,粗鄙,广开言路,更新换代,3
孙悟空自言身世 （中药名）,云母石,岗岩,安息香,地火,冰花玉,2
走卒 （打成语一）,一口咬定,不省人事,嗟乎,鲜香,霸王硬上弓,1
妈妈上了光荣榜 （打一称谓）,大男孩,麦加,舅爷爷,弱冠,锚,2
身体洁白如玉，心里花花绿绿，白沙滩上打滚，清水池中沐浴。 （打一食物）,元宵,糯米团,饺子,汤圆,发糕,3
薄字误写作浦字 （打一成语）,博闻强识,花容月貌,老谋深算,正面战场,英雄气短,4
中秋度蜜月 （打一成语）,盼君归,亦幻亦真,谢天谢地,恻隐之心,以儆效尤,0
日出耕作 （儿童歌曲）,春天在哪里,星星点灯,种太阳,健康歌,粉刷匠,2
独眼龙看戏 （打一四字成语）,有的放矢,任意,雷达图,不清楚,一目了然,4
惊险小说 （打一常用成语）,末代,清高,翻手为云,狂妄无知,不安于室,3
夜半一逢人 （打成语一）,陷入重围,欲速则不达,天崩地裂,人面兽心,底细,1
眼如铜铃，身像铁钉，有翅无毛，有脚难行（打一动物名）,得分王,犀牛,盲僧,金雕,四声杜鹃,1
碰到舞台就演出 （打一成语）,梁郁霖,雄才大略,时不我待,平庸之辈,弹指之间,3
尖嘴尖耳拖大尾，狡猾多端爱使鬼。 （打一动物）,浪人情歌,马猴,一只狼,达氏鲟,小麻雀,2
热身子滚到冰窖里 （打一成语）,按图索骥,引经据典,略高一筹,初露锋芒,陌生,3
黑黑一堵墙，形状长又方，老师讲课时，有它才便当。 （打一教学用品）,黑板,作业本,电脑键盘,草稿纸,班主任,0
我猜中啦！ （打成语一）,一脸茫然,精打细算,龙眉凤目,勘透,水泄不通,3
举旗成对·放踵格 （西药名）,野鸭,鹭鸶,白鹤,鸬鹚,翠鸟,1
掠 （猜一成语）,霸王硬上弓,欲拒还迎,扭扭捏捏,绝不可能,四海为家,1
大校 （打一称谓）,总统,老太太,外交官,大老粗,登科,0
装假肢的人 （打一成语）,任其自然,我放弃,江山社稷,如花似玉,楚楚动人,0
身穿八卦衣，头打双爪髻，喜的是狂风暴雨，怕的是热日来炙。 （打一动物）,青蛙,屎壳郎,小瓢虫,蜗牛,乌龟,4
夜来风雨声 （打一成语）,下落不明,安然无恙,已经死了,被害,全军覆没,0
一个老头怪模样，魄裤子绿衣裳，身体空实各一半，胡子长在脚板上。 （打一植物）,松树,芭蕉,一棵,竹子,杂草,0
乍相见，又别离。 （打一成语）,未见得,笔断意连,判冤决狱,饥寒交迫,大获全胜,0
坐着像只胖小狗，全身泛黑长舌头。 （打一动物）,广岛之恋,芙蓉,海马,昆虫纲,赤狐,2
小小脑袋三角形，酷似蜥蜴爱爬行。 （打一动物）,白狼,小狮子,蚰蜒,喵喵,蝼蛄,2
靠墙一条道，好像上山路，有人向上走，两脚不着土。 （打一常用工具）,窗户,走道,走道,窗户,人行天桥,1
皮肤发紫，身材扁圆，掉在地上梆梆响。 （打一水果）,藤叶,青枣,荷花,红枣,黑枣,2
吓坏守门妖 （打一成语）,痴男怨女,不相上下,庙祝,省主席,石投大海,1
家喻户晓 （打一成语）,洞察一切,神机妙算,聪明绝顶,博闻强识,无所不知,4
悲剧静场 （打一成语）,血腥屠杀,臭名昭著,十恶不赦,惨无人道,活体解剖,3
小巷偶遇 （打一成语）,狭路相逢,火星撞地球,困兽犹斗,不是冤家不聚首,一决雌雄,0
死了当是为别人 （乐器）,古典吉他,大提琴,架子鼓,室内乐,长笛,0
冰雪消融 （打俗语三字）,夸夸其谈,土包子,没良心,别客气,站起来,3
尾巴大得像扇子，窜来窜去采果子。夏天树上来乘凉，到了冬天洞里藏。 （打一动物）,巨蛇,霸王龙,青蛙,跳蚤,小麻雀,3
痴心难改 （打一成语）,迎刃而解,李可及,其貌不扬,后生小子,有的放矢,2
新媳妇下花轿（打一成语）,宰割,可怜虫,逆来顺受,懦弱,任人摆布,4
自称主人，敲打客人。 （打一成语）,诱敌深入,声东击西,调虎离山,围魏救赵,出其不意,1
夫 （打一成语）,难料,笑面虎,南来北往,完善自我,非同小可,4
转眼又见春归去 （唐诗目）,兵部尚书,仆射,罢相,吕惠卿,参知政事,2
既昏便息 （中国电影）,停战以后,停战以后,西域响马,死亡集中营,第二春,3
足蒸暑土气，背灼火天光。 （打一报刊名）,樱草黄,阆苑,电子版,闲暇时间,朝花,4
别人皮包骨，伊是骨包皮，实在不相信，背上生肚皮。 （打一物）,斗笠,白巾,粗布,蓑衣,蒙面人,4
昂首向前四方春 （中药名）,白果,花生,枇杷,板栗,桑葚,0
高山密林喜群居，金黄皮毛树上呆。 （打一动物）,白唇鹿,盘羊,珍稀动物,大熊猫,金丝猴,4
铁锤和镰刀 （打一称谓）,作家,中华民国陆军,总领事,特命全权大使,姑姑,0
领带生意蚀本 （打一成语）,夸饰,产品线,后来居上,奉天承运,小打小闹,1
考察宇宙 （打一成语）,惯用,固执己见,寅吃卯粮,实践是检验真理的唯一标准,知恩图报,3
大有人在 （打五字成语）,曾经的曾经,一去不复返,时过境迁,销声匿迹,开始怀念,1
合同 （打成语一）,公说公有理婆说婆有理,经济纠纷,调解人,各执一词,不欢而散,3
身穿黑色袄，尾巴想剪刀，秋去春来到，捉虫立功劳。 （打一动物）,鳄,黑麂,淡菜,爱情鸟,珍稀动物,4
一枕黄粱再现 （打成语一）,重温旧梦,危言耸听,落后就要挨打,逞凶,难料,0
顶上穗儿当笤帚，剩余谷粒可酿酒。 （打一植物）,高粱,青稞,玉米,小麦,糜子,2
翻印底片 （打一常用成语）,其乐无穷,习以为常,意犹未尽,一模一样,对联,3
出口商品 （打俗语三字）,气急败坏,撒泼,裙带风,打哈哈,不倒翁,3
小时韭叶细，到大瓮来粗，小时能吃大时用，不用播种不用耕 （打一植物）,钵盂,仙客来,海带,郁金,百合,0
七七四十九，劈竹做洗帚，楼上滴滴嗒，楼下有人走。 （打一物）,针线包,衣架,就在你身后,雨伞,我的帽子,3
表示甘心 （打成语一）,制造浪漫,甜言蜜语,山盟海誓,逢场作戏,说情话,1
同心同德干劲大 （歌曲名）,嫂子,年年岁岁花相似,明月千里寄相思,铁金刚,千千阙歌,4
谜格 （三字电影）,夫家,独行客,深入丛林,莲花生,敢问路在何方,1
大四方，小四方，没有它，闷得慌。 （打一建筑物）,屋脊,屋顶,石灰,阳台门,乳白胶,3
八一诗歌郎育会 （打一小说名）,女人集,掌上明珠,三言两拍,清江壮歌,生命册,0
过年不要浪费 （花卉树木）,省头草,水辣蓼,开喉箭,节节花,急解索,3
有个铁锁头，天天在门口，好人让它路，贼人见它走。 （打一动物）,蚰蜒,獭兔,啄木鸟,袋鼠,变色龙,2
金丝线，银丝线，金马驹子上边走，谁要猜着这个谜，输给他一个猪头五斤酒 （动物）,鲮鱼,蚌,马蜂,牛,白蚁,2
放气球 （打一成语）,不着边际,随波逐流,寿星,顺理成章,时时刻刻,0
春来一片金黄，蜂蝶花间徜徉，种子能够榨油，炒出菜来喷香。 （打一蔬菜）,莴苣,茄子,豌豆苗,油菜,茭白,1
三元一串，看似连珠。 （中药名）,寒水石,炒枳壳,广木香,天竺黄,胆星,2
改革后日胜一日 （中药名）,天竺黄,胆星,寒水石,广木香,炒枳壳,0
擦破一点皮 （打成语一）,无措,丧家犬,一无所知,早出晚归,五福盈门,2
银街 （打一现代文学作品）,黄土地,巨龙腾飞,艳阳天,阡陌纵横,金光大道,4
长大后好美（打一成语）,犯上作乱,同祝,不温柔,到处留情,西装革履,1
拦水坝（打一中草药名）,木贼,解肌汤,当归,桑寄生,生地,2
只售站票 （打一成语）,婆婆妈妈,东奔西走,宵旰,以貌取人,悠然自得,1
通古今之变 （打一古代著作）,辞海,契丹国志,朱骏声,蔡泽,徐梦莘,0
维吾尔语 （外国歌曲名）,爱啊爱,老情歌,uiui,说你说我,广岛之恋,3
爬墙上壁是英雄，身体扁平善捉虫，尾巴断了能再生，中医称它是守宫。 （打一动物）,壁虎,蜈蚣,大老鼠,一条蛇,蜘蛛,0
打嘴仗 （打成语一）,迂回战术,与人为善,汪洋闳肆,有伤风化,沉醉,1
十二瓦灯管 （打俗语三字）,打光棍,守活寡,老姑娘,有出息,单着,0
成功又要下西洋 （打一成语）,牵线搭桥,死记硬背,命途多舛,弄巧成拙,青砖灰瓦,2
孔明办事 （打成语一）,人定胜天,孤鸾煞,知错即改,强弩之末,忍让,2
专说大话 （打成语一）,微不足道,轻而易举,渺小,无能为力,那些生活,0
土地爷的胸膛 （打一成语）,嘻嘻哈哈,傻里傻气,开怀大笑,天真烂漫,没心没肺,4
两边来回当报子，半天空里吹叫子，回家住个木罩子。 （打一动物）,快马,野鸭,信鸽,雏鸡,哨探,2
美妇刚添丁 （打一成语）,没大没小,强词夺理,夹着尾巴,肝胆相照,惊涛拍岸,0
远看小洋楼，近看大馒头，人在底下走，水在上面流。 （打一物）,衣架,我的帽子,就在你身后,针线包,雨伞,4
只学一家 （打一成语）,空谈,要诀,一以贯之,高境界,不二法门,4
虚光 （打成语一）,不翼而飞,空空如也,环顾四周,消失无踪,一团漆黑,1
雌雄相对显祥瑞，五彩火鸟人人追。 （打一动物）,藕,狼,蝎子,固元膏,食蚁兽,2
金乌西坠，玉兔东升 （打一成语）,勤勤恳恳,全神贯注,精益求精,夜以继日,不辞辛苦,1
一对蜻蜓点水 （打俗语四字）,名不虚传,心说,有两下子,小白脸,那家伙,2
四把腰刀插在身，摇摇摆摆过湖心，风吹日晒都不怕，只怕孩儿捏我身。 （打一动物）,透明的翅膀,低飞,瓢虫,蝴蝶,蜻蜓,3
乃瞻衡宇 （称谓职务）,方大曾,师叔,团支书,邓华德,守卫,4
自留凭证 （打一成语）,鸠占鹊巢,独吞,乘人不备,完璧归赵,据为己有,4
别人皮包骨，我却骨包皮，别人用脚走，我却用头移。 （打一动物）,蛹,阿德利企鹅,节节草,盘羊,茄子,2
钢铁大汉一只手，手里提个大钓钩，不钓小鱼和小虾，专拣重物钓个够。 （打一物）,卫生纸,鸭脖子,吊扇,地球仪,压路机,2
剥一层，又一层，层层里面有花绒，花绒里头有金豆，金豆里面又一层。 （打一植物）,芋艿,层林尽染,满天星,畦,凫茈,1
口试 （打成语一）,齐天大圣,白里透红,一鼓作气,依草附木,城市面积,2
飞阁流丹续黄粱 （古典名著）,金陵十二钗,曹雪芹,西厢记,红楼梦,聊斋志异,0
石家姑娘，怪模怪样，牙在肚里，嘴在背上。 （打一物）,蝴蝶,加热套,蟑螂屋,抛接球,梳子,4
一只黄袋子，藏着几只白猄子，猄子上面生着许多小牙齿。 （打一水果）,佛手,白梅花,灵芝,莲蓬,吉祥草,3
肚大脑袋小，不怕火焰烧，头戴安全帽，干活反摘掉。 （打一物）,火柴,酒精灯,蜡烛,直接加热,铝壶,0
五官失火 （打一成语）,蜂拥而上,弹指之间,有奶便是娘,火星撞地球,父母,3
饮食店搬家 （打一成语）,不可小觑,连滚带爬,手无寸铁,不畏强权,倚马可待,4
远看林木森森，近看荆棘刺人，紫红色的娘子，怀抱黑眼将军。 （打一植物）,1218直播节,花椒,香油,蒜,葱,1
读书成才 （打成语一）,过而能改,自愧弗如,瞻前顾后,话不投机,转手,3
煎炒蒸炸都会，沙拉尤显妙手。 （打一成语）,心知肚明,弱冠,能干,夸父逐日,粗俗,2
头插双股钢叉，身穿玻璃铁甲，喜的是清风细雨，怕的是太阳晒它。 （打一动物）,青蛙,小瓢虫,乌龟,蜗牛,屎壳郎,2
光照九重 （聊斋志异篇目）,方月娥,马介甫,李伯言,孙有胜,耿十八,4
视觉中心 （二字电影）,信使,魔表,红象,大白鹅,净土,2
开口一笑，露出黑牙，谁敢亲它，叫谁肉麻。 （打一植物）,香油,蒜,花椒,葱,1218直播节,0
书生模样被小瞧 （打一成语）,蕴藉,饱学,晦涩难懂,抱头鼠窜,述而不作,4
细细身体长又长，身后背着四面旗，斗大眼睛照前方，专除害虫有助益（打一动物名）,透明的翅膀,低飞,瓢虫,蝴蝶,蜻蜓,3
拿锅盖戴头上 （打一成语）,暗渡陈仓,知错即改,爱国如家,孽庶,千篇一律,2
桃李明年能再发，明年闺中知有谁 （五字俗语）,确有其事,人怕出名猪怕壮,位极人臣,一面之词,无官一身轻,4
身穿白衣裳，长着红嘴巴，一飞千里外，认得回老家。 （打一动物）,膘肥体壮,北极狐,犀牛,汪,海蜇,4
